file_path,label
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/1gMjOx2Hp-0_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/Grpv2VR0Ots_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/CGw-Aa_ptNQ_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/AhXP21DcB2A_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/2NO6vZMwCe0_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/9F3sutgYTvo_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/O7tiZ_txmf8_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/Cqm9Dh_AHJU_6_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/GBVtcR1_cCU_16_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/0Fzbtv_gwX0_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/5yj6DXJ3wXg_21_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/3hnHbVeSJNc_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/CzotiifbywI_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/74VQWcrpNds_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/-3UBJIEYKVg_20_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/KBZ4fp3Syow_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/NqZHX-eOVUA_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/Axafn3gc0Co_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/6feHO-MMaKA_0_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/P8CQi4teroA_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/0htup2pjObI_26_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/2KclWOqhKS8_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/BlT95sGzpEI_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/8AVztYoEXkY_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/K2VEwu7vG8k_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/4VgXNzULMuc_0_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/ITjdw8DpCYA_20_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/08w4Euq3Udk_19_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/EQkYsCRkPrE_14_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/847vzyiJDLA_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/IVTh3_Ek0U8_260_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/BI9iK5HIWEY_70_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/4fX-_LrvHF8_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/KUkAdM4Lazk_4_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/5pXbK7b5M50_0_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/1LQBKRQtQHg_6_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/-QtptsOvDDs_15_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/7Xudm_Xelq4_25_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/8lJhwGR7izQ_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/9OoT1p2lEPQ_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/JV4tgBESp1o_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/9zNcL0ixEAs_26_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/OPjfXPzXKXs_29_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/2xuhfIVuOq0_5_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/40Y08_q9WcU_50_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/O1RVX1bm0Ho_23_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/9MDokkfGnFk_80_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/L6975xD4czk_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/KA14Thvh5SU_29_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/K03RvENE2ZQ_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/MFaRhAq2JLw_10_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/DWC699Srn-8_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/41uAC_bn4XU_5_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/7qELBricr4Q_2_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/KCO8lQDHBJg_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/BTOSqSB1YkU_10_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/NZ2ZQ7qlZZg_30_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/6E9jd2Djqq8_6_chunk0.wav,crying
/mnt/3TB_SSD/rishi/aud/data/audioset-processing/processed_audio/3uUCjXOapM4_11_chunk0.wav,crying
